Poseidon, poseidon, https://www.trackico.io/ico/poseidon/, Upcoming, Charity, 3.9, null, null, 2018-05-12T00:00:00Z, 2018-06-12T00:00:00Z
UnitedFans, unitedfans, https://www.trackico.io/ico/unitedfans/, Upcoming, Software, 3.7, 2018-05-31T00:00:00Z, 2018-06-30T00:00:00Z, 2018-07-31T00:00:00Z, 2018-09-30T00:00:00Z
Shard Coin, shard-coin, https://www.trackico.io/ico/shard-coin/, Closed, Finance, 3.7, 2018-03-26T23:00:00Z, 2018-04-24T23:00:00Z, null, null
Hive Power, hive-power, https://www.trackico.io/ico/hive-power/, Upcoming, Platform, 4.6, null, null, 2018-06-11T12:00:00Z, 2018-06-30T12:00:00Z
The Rouge Project, the-rouge-project, https://www.trackico.io/ico/the-rouge-project/, Pre-Sale, Business, 4.6, 2018-03-01T00:00:00Z, 2018-06-03T00:00:00Z, 2018-06-04T00:00:00Z, 2018-07-08T00:00:00Z
TTC PROTOCOL, ttc-protocol, https://www.trackico.io/ico/ttc-protocol/, Ongoing, Platform, 4.4, 2018-03-12T10:00:00Z, 2018-03-15T10:00:00Z, 2018-04-18T12:00:00Z, 2018-05-18T12:00:00Z
Caerus Connections, caerus-connections, https://www.trackico.io/ico/caerus-connections/, Closed, Platform, 4.4, 2018-01-15T00:00:00Z, 2018-04-08T00:00:00Z, 2018-04-09T00:00:00Z, 2018-04-30T00:00:00Z
Altindex, altindex, https://www.trackico.io/ico/altindex/, Upcoming, Finance, 4.6, 2018-05-04T11:00:00Z, 2018-05-25T11:00:00Z, 2018-05-25T11:11:00Z, 2018-06-11T00:00:00Z
Senno, senno, https://www.trackico.io/ico/senno/, Closed, Platform, 4.3, 2018-03-31T00:00:00Z, 2018-04-30T00:00:00Z, null, null
CoinTour, cointour, https://www.trackico.io/ico/cointour/, Ongoing, Travel, 3.5, 2018-03-26T12:00:00Z, 2018-04-09T12:00:00Z, 2018-04-30T12:00:00Z, 2018-05-30T00:00:00Z
Kleros, kleros, https://www.trackico.io/ico/kleros/, Upcoming, Cryptocurrency, 5.0, null, null, 2018-05-15T00:00:00Z, 2018-07-15T00:00:00Z
Cashwolf, cashwolf, https://www.trackico.io/ico/cashwolf/, Upcoming, Platform, 3.9, 2018-03-24T08:00:00Z, 2018-04-22T08:00:00Z, 2018-06-23T08:00:00Z, 2018-07-22T08:00:00Z
EatMeCoin, eatmecoin, https://www.trackico.io/ico/eatmecoin/, Ongoing, Platform, 3.5, 2018-04-01T00:00:00Z, 2018-04-25T23:59:00Z, 2018-04-26T00:00:00Z, 2018-06-05T23:59:00Z
HAI Project, hai-project, https://www.trackico.io/ico/hai-project/, Pre-Sale, Platform, 4.3, 2018-04-30T12:00:00Z, 2018-05-14T12:00:00Z, 2018-05-15T12:00:00Z, 2018-06-13T12:00:00Z
Aimedis, aimedis, https://www.trackico.io/ico/aimedis/, Pre-Sale, Health & Medicine, 3.7, 2018-04-12T13:00:00Z, 2018-05-10T13:00:00Z, 2018-05-11T13:00:00Z, 2018-07-06T13:00:00Z
TokenSpeed, tokenspeed, https://www.trackico.io/ico/tokenspeed/, Ongoing, Cryptocurrency, 3.0, 2018-03-23T00:00:00Z, 2018-03-30T00:00:00Z, 2018-04-11T00:00:00Z, 2018-05-11T00:00:00Z
DirectHome, directhome, https://www.trackico.io/ico/directhome/, Pre-Sale, Real Estate, 5.0, 2018-04-15T04:00:00Z, 2018-05-15T03:59:59Z, 2018-05-15T04:00:00Z, 2018-07-15T03:59:59Z
No Fake Today, no-fake-today, https://www.trackico.io/ico/no-fake-today/, Closed, Business, 4.1, null, null, 2018-03-01T00:00:00Z, 2018-03-31T00:00:00Z
Quant Network, quant-network, https://www.trackico.io/ico/quant-network/, Closed, Platform, 4.4, 2018-03-19T00:00:00Z, 2018-04-01T23:59:59Z, 2018-04-02T00:00:00Z, 2018-04-30T00:00:00Z
ROOMDAO, roomdao, https://www.trackico.io/ico/roomdao/, Pre-Sale, Travel, 4.4, 2018-04-20T00:00:00Z, 2018-05-20T00:00:00Z, 2018-07-01T00:00:00Z, 2018-07-30T00:00:00Z
XYO Network, xyo-network, https://www.trackico.io/ico/xyo-network/, Ongoing, Platform, 4.8, null, null, 2018-03-20T00:00:00Z, 2018-05-20T00:00:00Z
BoatPilot, boatpilot, https://www.trackico.io/ico/boatpilot/, Ongoing, Platform, 5.0, 2018-01-09T13:00:00Z, 2018-03-31T23:59:59Z, 2018-04-01T13:00:00Z, 2018-04-30T23:59:59Z
Skillchain, skillchain, https://www.trackico.io/ico/skillchain/, Upcoming, Study, 5.0, 2018-04-06T11:00:00Z, 2018-04-25T11:00:00Z, 2018-05-11T11:00:00Z, 2018-05-26T11:00:00Z
ICOStart, icostart, https://www.trackico.io/ico/icostart/, Upcoming, Platform, 5.0, null, null, 2018-05-02T00:00:00Z, 2018-05-30T00:00:00Z
Market.space, marketspace, https://www.trackico.io/ico/marketspace/, Ongoing, Platform, 4.6, null, null, 2018-04-16T11:00:00Z, 2018-05-27T11:00:00Z
CoinJanitor, coinjanitor, https://www.trackico.io/ico/coinjanitor/, Upcoming, Cryptocurrency, 3.9, null, null, 2018-05-01T00:00:00Z, 2018-05-31T00:00:00Z
Nickelcoin, nickelcoin, https://www.trackico.io/ico/nickelcoin/, Ongoing, Trading, 4.8, 2018-04-12T00:00:00Z, 2018-04-23T00:00:00Z, 2018-04-26T00:00:00Z, 2018-06-10T00:00:00Z
SmartO, smarto, https://www.trackico.io/ico/smarto/, Ongoing, Business, 5.0, 2018-04-06T20:00:00Z, 2018-04-15T20:00:00Z, 2018-04-26T20:00:00Z, 2018-05-07T20:00:00Z
BitSchool, bitschool, https://www.trackico.io/ico/bitschool/, Upcoming, Platform, 4.6, 2018-03-19T09:00:00Z, 2018-04-16T09:00:00Z, 2018-05-14T09:00:00Z, 2018-06-11T09:00:00Z
BIDIUM, bidium, https://www.trackico.io/ico/bidium/, Upcoming, Business, 4.3, 2018-03-26T07:00:00Z, 2018-04-24T12:00:00Z, 2018-05-25T12:00:00Z, 2018-06-15T12:00:00Z
TransCrypt, transcrypt, https://www.trackico.io/ico/transcrypt/, Closed, Cryptocurrency, 4.8, null, null, 2018-03-05T00:00:00Z, 2018-04-02T00:00:00Z
BGX, bgx, https://www.trackico.io/ico/bgx/, Upcoming, Platform, 4.4, 2018-05-08T00:00:00Z, 2018-05-14T00:00:00Z, 2018-05-22T00:00:00Z, 2018-06-19T00:00:00Z
Gamico, gamico, https://www.trackico.io/ico/gamico/, Upcoming, Internet, 5.0, 2018-05-01T00:00:00Z, 2018-05-15T00:00:00Z, 2018-06-01T00:00:00Z, 2018-06-30T00:00:00Z
Productivist, productivist, https://www.trackico.io/ico/productivist/, Upcoming, Production, 4.4, 2018-05-01T00:00:00Z, 2018-05-15T00:00:00Z, 2018-05-16T00:00:00Z, 2018-07-31T00:00:00Z
uKit, ukit, https://www.trackico.io/ico/ukit/, Closed, Internet, 4.6, 2017-12-11T00:00:00Z, 2018-01-01T00:00:00Z, 2018-02-19T00:00:00Z, 2018-04-19T00:00:00Z
Utrum, utrum, https://www.trackico.io/ico/utrum/, Pre-Sale, Other, 4.8, 2018-04-24T00:00:00Z, 2018-05-10T00:00:00Z, 2018-05-20T00:00:00Z, null
Horizon Communications, horizon-communications, https://www.trackico.io/ico/horizon-communications/, Closed, Internet, 4.1, null, null, 2018-03-19T00:00:00Z, 2018-04-20T00:00:00Z
Invox Finance, invox-finance, https://www.trackico.io/ico/invox-finance/, Closed, Platform, 4.8, 2018-03-15T00:00:00Z, 2018-03-24T00:00:00Z, 2018-04-03T00:00:00Z, 2018-04-30T00:00:00Z
AXenS, axens, https://www.trackico.io/ico/axens/, Pre-Sale, Platform, 5.0, 2018-04-01T00:00:00Z, 2018-05-15T00:00:00Z, 2018-05-16T00:00:00Z, 2018-07-31T00:00:00Z
ACA NETWORK, aca-network, https://www.trackico.io/ico/aca-network/, Upcoming, Business, 4.4, null, null, 2018-05-01T00:00:00Z, 2018-05-31T00:00:00Z
Sportco, sportco, https://www.trackico.io/ico/sportco/, Upcoming, Platform, 3.9, 2018-05-01T00:00:00Z, 2018-05-31T00:00:00Z, 2018-06-01T00:00:00Z, 2018-06-30T00:00:00Z
OnStellar, onstellar, https://www.trackico.io/ico/onstellar/, Upcoming, Platform, 3.7, null, null, null, null
ZoneX, zonex, https://www.trackico.io/ico/zonex/, Ongoing, Platform, 4.4, 2018-03-19T00:00:00Z, 2018-04-08T00:00:00Z, 2018-04-16T00:00:00Z, 2018-05-06T00:00:00Z
Coinnup, coinnup, https://www.trackico.io/ico/coinnup/, Ongoing, Business, 4.3, null, null, 2018-04-22T16:00:00Z, 2018-09-26T14:59:00Z
Zonafide, zonafide, https://www.trackico.io/ico/zonafide/, Ongoing, Business, 4.6, 2018-04-06T00:00:00Z, 2018-04-20T00:00:00Z, 2018-04-21T00:00:00Z, 2018-05-06T00:00:00Z
NOIA Network, noia-network, https://www.trackico.io/ico/noia-network/, Upcoming, Internet, 4.6, null, null, 2018-05-29T14:00:00Z, 2018-06-28T14:00:00Z
Ambit, ambit, https://www.trackico.io/ico/ambit/, Upcoming, Cryptocurrency, 5.0, 2018-04-10T12:00:00Z, 2018-04-27T12:00:00Z, 2018-05-01T12:00:00Z, 2018-05-30T12:00:00Z
StasyQ, stasyq, https://www.trackico.io/ico/stasyq/, Ongoing, Platform, 4.6, null, null, 2018-04-06T13:00:00Z, 2018-06-05T13:00:00Z
xDAC, xdac, https://www.trackico.io/ico/xdac/, Upcoming, Business, 4.4, 2018-05-15T00:00:00Z, 2018-05-31T00:00:00Z, 2018-06-01T00:00:00Z, 2018-06-30T00:00:00Z
MaxData, maxdata, https://www.trackico.io/ico/maxdata/, Upcoming, Finance, 4.3, null, null, null, null
Social Wallet, social-wallet, https://www.trackico.io/ico/social-wallet/, Closed, Platform, 4.1, null, null, 2018-02-07T00:00:00Z, 2018-04-27T00:00:00Z
Nebula AI, nebula-ai, https://www.trackico.io/ico/nebula-ai/, Closed, Platform, 4.4, null, null, 2018-04-02T15:00:00Z, 2018-04-28T15:00:00Z
Verifier, verifier, https://www.trackico.io/ico/verifier/, Upcoming, Business, 3.9, null, null, 2018-05-03T00:00:00Z, 2018-06-04T00:00:00Z
froshfeel, froshfeel, https://www.trackico.io/ico/froshfeel/, Closed, Platform, 4.4, null, null, 2018-04-01T00:00:00Z, 2018-04-30T00:00:00Z
Solomonstouch, solomonstouch, https://www.trackico.io/ico/solomonstouch/, Closed, Platform, 4.3, null, null, 2018-04-01T00:00:00Z, 2018-04-30T00:00:00Z
Startions, startions, https://www.trackico.io/ico/startions/, Closed, Platform, 4.1, null, null, 2018-03-16T00:00:00Z, 2018-04-11T00:00:00Z
Nukleus, nukleus, https://www.trackico.io/ico/nukleus/, Upcoming, Platform, 4.1, 2018-05-01T00:00:00Z, 2018-05-21T00:00:00Z, 2018-06-01T00:00:00Z, 2018-06-30T00:00:00Z
BiteCoin Network, bitecoin-network, https://www.trackico.io/ico/bitecoin-network/, Ongoing, Platform, 3.7, null, null, 2018-04-06T00:00:00Z, null
Ubcoin, ubcoin, https://www.trackico.io/ico/ubcoin/, Ongoing, Platform, 4.8, 2018-03-10T00:00:00Z, 2018-03-31T00:00:00Z, 2018-04-02T00:00:01Z, 2018-07-14T23:59:00Z
Mthereum, mthereum, https://www.trackico.io/ico/mthereum/, Closed, Cryptocurrency, 4.4, 2018-03-16T00:00:00Z, 2018-04-22T00:00:00Z, null, null
QYKBAR, qykbar, https://www.trackico.io/ico/qykbar/, Upcoming, Platform, 5.0, 2018-03-31T00:00:00Z, 2018-04-22T00:00:00Z, 2018-05-15T00:00:00Z, 2018-06-16T00:00:00Z
SelfieYo, selfieyo, https://www.trackico.io/ico/selfieyo/, Closed, Social Media, 3.9, 2018-03-15T00:00:00Z, 2018-04-15T00:00:00Z, null, null
OVATO, ovato, https://www.trackico.io/ico/ovato/, Pre-Sale, Business, 4.1, 2018-04-02T20:00:00Z, 2018-06-28T19:59:00Z, null, null
FAIMA, faima, https://www.trackico.io/ico/faima/, Ongoing, Health & Medicine, 3.9, 2018-03-01T00:00:00Z, 2018-03-31T00:00:00Z, 2018-04-01T00:00:00Z, 2018-05-01T00:00:00Z
Shipowner.io, shipownerio, https://www.trackico.io/ico/shipownerio/, Ongoing, Platform, 4.3, null, null, 2018-03-07T12:12:00Z, 2018-05-07T00:00:00Z
Blupass, blupass, https://www.trackico.io/ico/blupass/, Pre-Sale, Business, 4.1, 2018-03-15T00:00:00Z, 2018-05-15T00:00:00Z, null, null
Vendex, vendex, https://www.trackico.io/ico/vendex/, Closed, Cryptocurrency, 4.3, 2018-03-31T00:00:00Z, 2018-04-08T23:59:59Z, 2018-04-14T00:00:00Z, 2018-04-29T23:59:59Z
OpenFinance Network, openfinance-network, https://www.trackico.io/ico/openfinance-network/, Ongoing, Platform, 3.9, null, null, 2018-04-30T00:00:00Z, null
BaaSid, baasid, https://www.trackico.io/ico/baasid/, Ongoing, Internet, 3.7, null, null, 2018-04-15T00:00:00Z, 2018-05-31T23:59:00Z
Ligercoin, ligercoin, https://www.trackico.io/ico/ligercoin/, Pre-Sale, Other, 4.6, 2018-04-18T00:00:00Z, 2018-05-10T00:00:00Z, 2018-05-11T00:00:00Z, 2018-06-11T00:00:00Z
Union, union, https://www.trackico.io/ico/union/, Upcoming, Finance, 4.1, null, null, 2018-05-01T00:00:00Z, 2018-07-31T00:00:00Z
SupportMarket, supportmarket, https://www.trackico.io/ico/supportmarket/, Upcoming, Business, 3.7, null, null, 2018-06-01T00:00:00Z, 2018-06-15T00:00:00Z
Potion Owl, potion-owl, https://www.trackico.io/ico/potion-owl/, Pre-Sale, Health & Medicine, 3.1, 2018-03-26T00:00:00Z, 2018-05-11T00:00:00Z, 2018-05-25T00:00:00Z, 2018-07-04T00:00:00Z
Save Token, save-token, https://www.trackico.io/ico/save-token/, Ongoing, Trading, 4.4, 2018-02-23T00:00:00Z, 2018-03-23T00:00:00Z, 2018-04-22T00:00:00Z, 2018-05-25T00:00:00Z
WeevoCity, weevocity, https://www.trackico.io/ico/weevocity/, Ongoing, Business, 3.9, 2018-03-26T00:00:00Z, 2018-04-25T00:00:00Z, 2018-04-26T00:00:00Z, 2018-06-25T00:00:00Z
SilkChain, silkchain, https://www.trackico.io/ico/silkchain/, Upcoming, Trading, 4.6, 2018-05-01T00:00:00Z, 2018-05-15T23:59:00Z, 2018-05-16T00:00:00Z, 2018-06-30T23:59:00Z
DigiDex, digidex, https://www.trackico.io/ico/digidex/, Pre-Sale, Platform, 3.7, 2018-03-21T00:00:00Z, 2018-04-30T22:59:59Z, 2018-05-01T00:00:00Z, 2018-05-31T22:59:59Z
APRES, apres, https://www.trackico.io/ico/apres/, Ongoing, Platform, 3.9, null, null, 2018-03-02T00:00:00Z, 2018-06-30T00:00:00Z
Saturn Protocol, saturn-protocol, https://www.trackico.io/ico/saturn-protocol/, Upcoming, Cryptocurrency, 3.5, null, null, 2018-05-01T00:00:00Z, 2018-07-31T00:00:00Z
SSOT Health Foundation, ssot-health-foundation, https://www.trackico.io/ico/ssot-health-foundation/, Upcoming, Health & Medicine, 4.3, 2018-03-30T00:00:00Z, 2018-04-30T00:00:00Z, 2018-05-01T00:00:00Z, 2018-05-31T00:00:00Z
Akash Network, akash-network, https://www.trackico.io/ico/akash-network/, Unknown, Software, 3.0, null, null, null, null
Carmel, carmel, https://www.trackico.io/ico/carmel/, Upcoming, Study, 3.1, 2018-05-07T00:00:00Z, 2018-06-11T00:00:00Z, 2018-06-11T00:00:00Z, 2018-08-20T00:00:00Z
FTW, ftw, https://www.trackico.io/ico/ftw/, Pre-Sale, Platform, 3.7, 2018-04-14T00:00:00Z, 2018-07-02T00:00:00Z, 2018-07-03T00:00:00Z, 2018-07-18T00:00:00Z
Crypterra, crypterra, https://www.trackico.io/ico/crypterra/, Ongoing, Platform, 3.1, null, null, 2018-03-01T03:00:00Z, 2018-07-02T03:00:00Z
XchangeRate, xchangerate, https://www.trackico.io/ico/xchangerate/, Ongoing, Trading, 5.0, 2018-03-20T00:00:00Z, 2018-04-05T00:00:00Z, 2018-04-12T00:00:00Z, 2018-05-09T00:00:00Z
PokerSports, pokersports, https://www.trackico.io/ico/pokersports/, Closed, Platform, 5.0, 2018-02-24T00:00:00Z, 2018-03-24T00:00:00Z, 2018-03-24T00:00:00Z, 2018-04-21T00:00:00Z
Rate3 Network, rate3-network, https://www.trackico.io/ico/rate3-network/, Pre-Sale, Cryptocurrency, 5.0, 2018-04-16T06:00:00Z, 2018-05-30T06:00:00Z, 2018-05-31T12:00:00Z, null
Nauticus, nauticus, https://www.trackico.io/ico/nauticus/, Ongoing, Platform, 5.0, 2018-03-18T00:00:00Z, 2018-03-30T00:00:00Z, 2018-03-31T00:00:00Z, 2018-05-18T00:00:00Z
Shopiblock, shopiblock, https://www.trackico.io/ico/shopiblock/, Pre-Sale, Cryptocurrency, 5.0, 2018-04-28T09:00:00Z, 2018-05-25T09:00:00Z, 2018-05-26T09:00:00Z, 2018-06-23T09:00:00Z
Vernam, vernam, https://www.trackico.io/ico/vernam/, Upcoming, Business, 5.0, null, null, 2018-05-15T09:00:00Z, 2018-06-26T12:00:00Z
Marginless, marginless, https://www.trackico.io/ico/marginless/, Ongoing, Games & Entertainment, 4.8, 2018-04-10T10:00:00Z, 2018-04-11T10:00:00Z, 2018-04-11T10:00:00Z, 2018-05-30T10:00:00Z
EXPORT.ONLINE, exportonline, https://www.trackico.io/ico/exportonline/, Upcoming, Platform, 3.7, 2018-05-01T10:00:00Z, 2018-05-31T23:59:00Z, 2018-06-01T10:00:00Z, 2018-07-01T23:59:00Z
Enecuum, enecuum, https://www.trackico.io/ico/enecuum/, Upcoming, Platform, 3.9, null, null, null, null
Skyllz, skyllz, https://www.trackico.io/ico/skyllz/, Upcoming, Platform, 4.3, null, null, null, null
B2AND, b2and, https://www.trackico.io/ico/b2and/, Ongoing, Platform, 4.4, null, null, 2018-04-23T00:00:00Z, 2018-05-22T00:00:00Z
Alicoin, alicoin, https://www.trackico.io/ico/alicoin/, Ongoing, Platform, 3.3, null, null, 2018-03-31T00:00:00Z, 2018-05-15T00:00:00Z
Merculet, merculet, https://www.trackico.io/ico/merculet/, Upcoming, Internet, 4.8, null, null, 2018-05-04T13:00:00Z, 2018-05-09T13:00:00Z
OneLedger, oneledger, https://www.trackico.io/ico/oneledger/, Upcoming, Platform, 0.0, null, null, null, null
NagriCoin, nagricoin, https://www.trackico.io/ico/nagricoin/, Pre-Sale, Production, 4.8, 2018-04-02T16:15:00Z, 2018-05-24T16:15:00Z, 2018-05-28T16:15:00Z, 2018-06-30T16:15:00Z
DarcMatter Coin, darcmatter-coin, https://www.trackico.io/ico/darcmatter-coin/, Pre-Sale, Finance, 4.3, 2018-03-22T00:00:00Z, 2018-06-15T00:00:00Z, null, null
TraXion, traxion, https://www.trackico.io/ico/traxion/, Upcoming, Finances, 4.3, 2018-05-01T00:00:00Z, 2018-05-31T00:00:00Z, 2018-06-15T00:00:00Z, 2018-07-31T00:00:00Z
Fr8 Network, fr8-network, https://www.trackico.io/ico/fr8-network/, Upcoming, Transport, 3.9, null, null, null, null
Creator.AI, creatorai, https://www.trackico.io/ico/creatorai/, Upcoming, Business, 4.1, null, null, null, null
FTEC, ftec, https://www.trackico.io/ico/ftec/, Pre-Sale, Trading, 5.0, 2018-04-24T14:00:00Z, 2018-05-22T14:00:00Z, 2018-06-20T14:00:00Z, 2018-07-18T14:00:00Z
CryptoPolice, cryptopolice, https://www.trackico.io/ico/cryptopolice/, Upcoming, Platform, 5.0, 2018-05-15T00:00:00Z, 2018-05-28T00:00:00Z, null, null
Digital Ticks, digital-ticks, https://www.trackico.io/ico/digital-ticks/, Ongoing, Trading, 4.8, 2018-03-25T00:11:00Z, 2018-04-15T00:11:00Z, 2018-04-15T00:11:00Z, 2018-06-15T00:11:00Z
Anything App, anything-app, https://www.trackico.io/ico/anything-app/, Upcoming, Platform, 4.3, 2018-05-02T12:00:00Z, 2018-05-15T12:00:00Z, 2018-05-30T12:00:00Z, 2018-06-29T12:00:00Z
Woodscoin, woodscoin, https://www.trackico.io/ico/woodscoin/, Ongoing, Production, 2.6, 2018-04-01T00:00:00Z, 2018-04-15T00:00:00Z, 2018-04-15T00:00:00Z, 2018-05-01T00:00:00Z
All Of Art, all-of-art, https://www.trackico.io/ico/all-of-art/, Upcoming, Other, 2.8, 2018-04-02T00:00:00Z, 2018-04-22T23:59:00Z, 2018-05-01T00:00:00Z, null
Nafen, nafen, https://www.trackico.io/ico/nafen/, Pre-Sale, Production, 5.0, 2018-03-22T10:00:00Z, 2018-05-22T21:00:00Z, null, null
Vipe, vipe, https://www.trackico.io/ico/vipe/, Closed, Finance, 4.3, 2018-03-25T19:00:00Z, 2018-04-04T19:00:00Z, 2018-04-06T19:00:00Z, 2018-04-28T19:00:00Z
Fractal Token, fractal-token, https://www.trackico.io/ico/fractal-token/, Pre-Sale, Finance, 4.8, 2018-02-20T00:00:00Z, 2018-05-31T00:00:00Z, 2018-06-01T00:00:00Z, 2018-07-31T00:00:00Z
Let It Play, let-it-play, https://www.trackico.io/ico/let-it-play/, Ongoing, Platform, 4.4, 2017-12-25T00:00:00Z, 2018-02-28T00:00:00Z, 2018-04-02T00:00:00Z, 2018-06-01T00:00:00Z
Coinquiztador, coinquiztador, https://www.trackico.io/ico/coinquiztador/, Upcoming, Games & Entertainment, 4.6, 2018-03-23T11:00:00Z, 2018-04-23T00:00:00Z, 2018-05-03T00:00:00Z, 2018-06-03T00:00:00Z
SocialCxN, socialcxn, https://www.trackico.io/ico/socialcxn/, Pre-Sale, Social Media, 4.3, 2018-03-21T00:00:00Z, 2018-05-08T04:59:00Z, 2018-05-12T00:00:00Z, 2018-06-19T04:59:00Z
ABLE Project, able-project, https://www.trackico.io/ico/able-project/, Ongoing, Finance, 5.0, 2018-03-27T00:00:00Z, 2018-03-30T00:00:00Z, 2018-04-24T00:00:00Z, 2018-05-24T00:00:00Z
Blockchain Terminal, blockchain-terminal, https://www.trackico.io/ico/blockchain-terminal/, Ongoing, Software, 4.3, 2018-03-16T00:00:00Z, 2018-03-31T23:59:00Z, 2018-04-01T00:00:00Z, 2018-04-30T23:59:00Z
AbacasXchange, abacasxchange, https://www.trackico.io/ico/abacasxchange/, Upcoming, Finance, 3.7, null, null, 2018-06-15T00:00:00Z, 2018-07-15T00:00:00Z
L-Pesa Microfinance, l-pesa-microfinance, https://www.trackico.io/ico/l-pesa-microfinance/, Ongoing, Finance, 4.3, 2018-03-18T15:00:00Z, 2018-04-09T15:00:00Z, 2018-04-18T15:00:00Z, 2018-05-10T15:00:00Z
MyDFS, mydfs, https://www.trackico.io/ico/mydfs/, Pre-Sale, Games & Entertainment, 5.0, 2018-04-16T02:00:00Z, 2018-05-07T01:59:00Z, 2018-05-21T00:00:00Z, 2018-06-12T00:00:00Z
CryptoCashbackRebate, cryptocashbackrebate, https://www.trackico.io/ico/cryptocashbackrebate/, Ongoing, Finance, 4.4, 2018-03-18T02:01:00Z, 2018-04-03T23:59:00Z, 2018-04-04T00:01:00Z, 2018-06-18T23:59:00Z
Datareum, datareum, https://www.trackico.io/ico/datareum/, Pre-Sale, Platform, 5.0, 2018-04-28T12:00:00Z, 2018-05-14T12:00:00Z, 2018-06-02T12:00:00Z, 2018-07-02T12:00:00Z
Photochain, photochain, https://www.trackico.io/ico/photochain/, Ongoing, Business, 5.0, null, null, 2018-04-05T23:00:00Z, 2018-05-08T22:59:00Z
Uchit, uchit, https://www.trackico.io/ico/uchit/, Upcoming, Connectivity, 5.0, 2018-05-01T00:00:00Z, 2018-05-30T00:00:00Z, 2018-06-01T00:00:00Z, 2018-06-30T00:00:00Z
DineroCoin, dinerocoin, https://www.trackico.io/ico/dinerocoin/, Closed, Cryptocurrency, 2.8, 2018-02-04T13:00:00Z, 2018-03-06T13:00:00Z, 2018-03-26T13:00:00Z, 2018-04-30T13:00:00Z
777.Bingo, 777bingo, https://www.trackico.io/ico/777bingo/, Pre-Sale, Games & Entertainment, 3.5, 2018-03-01T00:00:00Z, 2018-05-01T00:00:00Z, null, null
PayVX, payvx, https://www.trackico.io/ico/payvx/, Upcoming, Finance, 4.4, 2018-03-20T00:00:00Z, 2018-04-20T00:00:00Z, 2018-05-01T00:00:00Z, 2018-07-04T00:00:00Z
Fixy Network, fixy-network, https://www.trackico.io/ico/fixy-network/, Upcoming, Cryptocurrency, 4.8, 2018-05-01T00:00:00Z, 2018-05-09T00:00:00Z, 2018-05-16T00:00:00Z, 2018-05-31T00:00:00Z
Countinghouse Fund, countinghouse-fund, https://www.trackico.io/ico/countinghouse-fund/, Pre-Sale, Finance, 4.8, 2018-04-03T00:00:00Z, 2018-05-08T00:00:00Z, 2018-05-09T00:00:00Z, 2018-06-12T00:00:00Z
Emrify Health Passport, emrify-health-passport, https://www.trackico.io/ico/emrify-health-passport/, Pre-Sale, Health & Medicine, 5.0, 2018-04-23T08:00:00Z, 2018-05-04T23:00:00Z, 2018-05-05T00:00:00Z, 2018-06-05T00:00:00Z
Plentix, plentix, https://www.trackico.io/ico/plentix/, Pre-Sale, Trading, 5.0, 2018-04-25T00:00:00Z, 2018-05-19T00:00:00Z, 2018-05-20T00:00:00Z, 2018-06-17T00:00:00Z
Eternal Trusts, eternal-trusts, https://www.trackico.io/ico/eternal-trusts/, Pre-Sale, Finance, 5.0, 2018-03-22T03:00:00Z, 2018-05-30T03:00:00Z, 2018-06-01T03:00:00Z, 2018-08-01T03:00:00Z
ZEEW, zeew, https://www.trackico.io/ico/zeew/, Ongoing, Platform, 4.3, null, null, 2018-04-25T12:00:00Z, 2018-06-20T12:00:00Z
MedicoHealth, medicohealth, https://www.trackico.io/ico/medicohealth/, Upcoming, Health & Medicine, 5.0, 2018-06-01T18:00:00Z, 2018-06-30T18:00:00Z, 2018-07-01T18:00:00Z, 2018-08-01T18:00:00Z
Cointrade, cointrade, https://www.trackico.io/ico/cointrade/, Closed, Cryptocurrency, 4.3, 2018-04-08T00:00:00Z, 2018-04-27T00:00:00Z, null, null
EvoChain, evochain, https://www.trackico.io/ico/evochain/, Pre-Sale, Cryptocurrency, 5.0, 2018-04-06T00:00:00Z, 2018-05-03T00:00:00Z, 2018-06-01T00:00:00Z, 2018-07-09T00:00:00Z
ARQUTE G.A.S, arqute-gas, https://www.trackico.io/ico/arqute-gas/, Ongoing, Production, 4.8, 2018-03-19T00:01:00Z, 2018-04-15T23:59:00Z, 2018-04-16T00:01:00Z, 2018-05-13T23:59:00Z
Hedera Hashgraph, hedera-hashgraph, https://www.trackico.io/ico/hedera-hashgraph/, Unknown, Platform, 0.0, null, null, null, null
Loki, loki, https://www.trackico.io/ico/loki/, Closed, Platform, 4.1, null, null, null, 2018-03-25T00:00:00Z
Worldopoly, worldopoly, https://www.trackico.io/ico/worldopoly/, Pre-Sale, Games & Entertainment, 4.6, 2018-02-26T19:00:00Z, 2018-05-22T06:59:00Z, 2018-05-25T19:00:00Z, 2018-06-21T06:59:00Z
FIRETOKEN, firetoken, https://www.trackico.io/ico/firetoken/, Closed, Cryptocurrency, 3.7, null, null, 2018-03-18T04:00:00Z, 2018-04-21T04:00:00Z
FLUX, flux, https://www.trackico.io/ico/flux/, Ongoing, Games & Entertainment, 4.6, 2017-12-01T00:00:00Z, 2017-12-31T00:00:00Z, 2018-04-17T00:00:00Z, 2018-05-31T00:00:00Z
AdSigma, adsigma, https://www.trackico.io/ico/adsigma/, Ongoing, Internet, 5.0, 2018-04-05T10:00:00Z, 2018-04-20T10:00:00Z, 2018-04-20T10:00:00Z, 2018-05-20T10:00:00Z
